timestamp,example,version,iteration,operation,scenario,direction,pipeline,rows,durationMs,outputRows,checksum,url
"2026-06-25T18:49:40.460Z","v8/sorting-fns","v8",1,"sorting","datetime","asc","operation",30000,53.599999994039536,30000,"0:1:2020-01-01T00:00:00.000Z;15000:29894:2023-06-18T00:00:00.000Z;29999:29960:2026-12-28T00:00:00.000Z","http://127.0.0.1:41740"
"2026-06-25T18:49:40.533Z","v8/sorting-fns","v8",2,"sorting","datetime","asc","operation",30000,53.79999999701977,30000,"0:1:2020-01-01T00:00:00.000Z;15000:29894:2023-06-18T00:00:00.000Z;29999:29960:2026-12-28T00:00:00.000Z","http://127.0.0.1:41740"
"2026-06-25T18:49:40.608Z","v8/sorting-fns","v8",3,"sorting","datetime","asc","operation",30000,55.599999994039536,30000,"0:1:2020-01-01T00:00:00.000Z;15000:29894:2023-06-18T00:00:00.000Z;29999:29960:2026-12-28T00:00:00.000Z","http://127.0.0.1:41740"
"2026-06-25T18:49:41.357Z","v8/sorting-fns","v8",1,"sorting","datetime","asc","operation",300000,535.7000000029802,300000,"0:1:2020-01-01T00:00:00.000Z;150000:299870:2023-06-18T00:00:00.000Z;299999:299936:2026-12-28T00:00:00.000Z","http://127.0.0.1:41740"
"2026-06-25T18:49:42.195Z","v8/sorting-fns","v8",2,"sorting","datetime","asc","operation",300000,531.7999999970198,300000,"0:1:2020-01-01T00:00:00.000Z;150000:299870:2023-06-18T00:00:00.000Z;299999:299936:2026-12-28T00:00:00.000Z","http://127.0.0.1:41740"
"2026-06-25T18:49:42.937Z","v8/sorting-fns","v8",3,"sorting","datetime","asc","operation",300000,533.5999999940395,300000,"0:1:2020-01-01T00:00:00.000Z;150000:299870:2023-06-18T00:00:00.000Z;299999:299936:2026-12-28T00:00:00.000Z","http://127.0.0.1:41740"
"2026-06-25T18:49:43.007Z","v8/sorting-fns","v8",1,"sorting","datetime","desc","operation",30000,52,30000,"0:56:2026-12-28T00:00:00.000Z;15000:242:2023-06-18T00:00:00.000Z;29999:29989:2020-01-01T00:00:00.000Z","http://127.0.0.1:41740"
"2026-06-25T18:49:43.104Z","v8/sorting-fns","v8",2,"sorting","datetime","desc","operation",30000,75.20000000298023,30000,"0:56:2026-12-28T00:00:00.000Z;15000:242:2023-06-18T00:00:00.000Z;29999:29989:2020-01-01T00:00:00.000Z","http://127.0.0.1:41740"
"2026-06-25T18:49:43.180Z","v8/sorting-fns","v8",3,"sorting","datetime","desc","operation",30000,52.6000000089407,30000,"0:56:2026-12-28T00:00:00.000Z;15000:242:2023-06-18T00:00:00.000Z;29999:29989:2020-01-01T00:00:00.000Z","http://127.0.0.1:41740"
"2026-06-25T18:49:44.033Z","v8/sorting-fns","v8",1,"sorting","datetime","desc","operation",300000,492.29999999701977,300000,"0:56:2026-12-28T00:00:00.000Z;150000:242:2023-06-18T00:00:00.000Z;299999:299965:2020-01-01T00:00:00.000Z","http://127.0.0.1:41740"
"2026-06-25T18:49:44.760Z","v8/sorting-fns","v8",2,"sorting","datetime","desc","operation",300000,493,300000,"0:56:2026-12-28T00:00:00.000Z;150000:242:2023-06-18T00:00:00.000Z;299999:299965:2020-01-01T00:00:00.000Z","http://127.0.0.1:41740"
"2026-06-25T18:49:45.763Z","v8/sorting-fns","v8",3,"sorting","datetime","desc","operation",300000,504.70000000298023,300000,"0:56:2026-12-28T00:00:00.000Z;150000:242:2023-06-18T00:00:00.000Z;299999:299965:2020-01-01T00:00:00.000Z","http://127.0.0.1:41740"
"2026-06-25T18:49:45.824Z","v8/sorting-fns","v8",1,"sorting","basic","asc","operation",30000,41.099999994039536,30000,"0:1:0;15000:26248:49993.7;29999:29285:99996.4","http://127.0.0.1:41740"
"2026-06-25T18:49:45.894Z","v8/sorting-fns","v8",2,"sorting","basic","asc","operation",30000,47.70000000298023,30000,"0:1:0;15000:26248:49993.7;29999:29285:99996.4","http://127.0.0.1:41740"
"2026-06-25T18:49:45.967Z","v8/sorting-fns","v8",3,"sorting","basic","asc","operation",30000,48.79999999701977,30000,"0:1:0;15000:26248:49993.7;29999:29285:99996.4","http://127.0.0.1:41740"
"2026-06-25T18:49:46.915Z","v8/sorting-fns","v8",1,"sorting","basic","asc","operation",300000,731.1000000089407,300000,"0:1:0;150000:50001:50000;299999:282322:99999.1","http://127.0.0.1:41740"
"2026-06-25T18:49:48.027Z","v8/sorting-fns","v8",2,"sorting","basic","asc","operation",300000,723.5,300000,"0:1:0;150000:50001:50000;299999:282322:99999.1","http://127.0.0.1:41740"
"2026-06-25T18:49:48.960Z","v8/sorting-fns","v8",3,"sorting","basic","asc","operation",300000,716.8000000119209,300000,"0:1:0;150000:50001:50000;299999:282322:99999.1","http://127.0.0.1:41740"
"2026-06-25T18:49:49.067Z","v8/sorting-fns","v8",1,"sorting","basic","desc","operation",30000,61.19999998807907,30000,"0:29285:99996.4;15000:8569:49992.8;29999:1:0","http://127.0.0.1:41740"
"2026-06-25T18:49:49.142Z","v8/sorting-fns","v8",2,"sorting","basic","desc","operation",30000,50.599999994039536,30000,"0:29285:99996.4;15000:8569:49992.8;29999:1:0","http://127.0.0.1:41740"
"2026-06-25T18:49:49.206Z","v8/sorting-fns","v8",3,"sorting","basic","desc","operation",30000,43.20000000298023,30000,"0:29285:99996.4;15000:8569:49992.8;29999:1:0","http://127.0.0.1:41740"
"2026-06-25T18:49:50.285Z","v8/sorting-fns","v8",1,"sorting","basic","desc","operation",300000,784,300000,"0:82322:99999.1;150000:32322:49999.1;299999:200001:0","http://127.0.0.1:41740"
"2026-06-25T18:49:51.318Z","v8/sorting-fns","v8",2,"sorting","basic","desc","operation",300000,775.7000000029802,300000,"0:82322:99999.1;150000:32322:49999.1;299999:200001:0","http://127.0.0.1:41740"
"2026-06-25T18:49:52.597Z","v8/sorting-fns","v8",3,"sorting","basic","desc","operation",300000,765.9000000059605,300000,"0:82322:99999.1;150000:32322:49999.1;299999:200001:0","http://127.0.0.1:41740"
"2026-06-25T18:49:53.816Z","v9/sorting-fns","v9",1,"sorting","alphanumeric","asc","operation",30000,79.6000000089407,30000,"0:29608:abacus-270415;15000:8109:knight-291949;29999:859:zen-299224","http://127.0.0.1:41741"
"2026-06-25T18:49:53.897Z","v9/sorting-fns","v9",2,"sorting","alphanumeric","asc","operation",30000,75.19999998807907,30000,"0:29608:abacus-270415;15000:8109:knight-291949;29999:859:zen-299224","http://127.0.0.1:41741"
"2026-06-25T18:49:53.978Z","v9/sorting-fns","v9",3,"sorting","alphanumeric","asc","operation",30000,76.20000000298023,30000,"0:29608:abacus-270415;15000:8109:knight-291949;29999:859:zen-299224","http://127.0.0.1:41741"
"2026-06-25T18:49:54.877Z","v9/sorting-fns","v9",1,"sorting","alphanumeric","asc","operation",300000,829.0999999940395,300000,"0:299876:abacus-173;150000:91518:knight-208529;299999:859:zen-299224","http://127.0.0.1:41741"
"2026-06-25T18:49:55.951Z","v9/sorting-fns","v9",2,"sorting","alphanumeric","asc","operation",300000,979.5999999940395,300000,"0:299876:abacus-173;150000:91518:knight-208529;299999:859:zen-299224","http://127.0.0.1:41741"
"2026-06-25T18:49:56.963Z","v9/sorting-fns","v9",3,"sorting","alphanumeric","asc","operation",300000,938,300000,"0:299876:abacus-173;150000:91518:knight-208529;299999:859:zen-299224","http://127.0.0.1:41741"
"2026-06-25T18:49:57.055Z","v9/sorting-fns","v9",1,"sorting","alphanumeric","desc","operation",30000,85.20000000298023,30000,"0:859:zen-299224;15000:9357:knight-290688;29999:29608:abacus-270415","http://127.0.0.1:41741"
"2026-06-25T18:49:57.146Z","v9/sorting-fns","v9",2,"sorting","alphanumeric","desc","operation",30000,84.8999999910593,30000,"0:859:zen-299224;15000:9357:knight-290688;29999:29608:abacus-270415","http://127.0.0.1:41741"
"2026-06-25T18:49:57.237Z","v9/sorting-fns","v9",3,"sorting","alphanumeric","desc","operation",30000,85.19999998807907,30000,"0:859:zen-299224;15000:9357:knight-290688;29999:29608:abacus-270415","http://127.0.0.1:41741"
"2026-06-25T18:49:58.261Z","v9/sorting-fns","v9",1,"sorting","alphanumeric","desc","operation",300000,947.4000000059605,300000,"0:859:zen-299224;150000:93229:knight-206783;299999:299876:abacus-173","http://127.0.0.1:41741"
"2026-06-25T18:49:59.283Z","v9/sorting-fns","v9",2,"sorting","alphanumeric","desc","operation",300000,944.5,300000,"0:859:zen-299224;150000:93229:knight-206783;299999:299876:abacus-173","http://127.0.0.1:41741"
"2026-06-25T18:50:00.323Z","v9/sorting-fns","v9",3,"sorting","alphanumeric","desc","operation",300000,965.1999999880791,300000,"0:859:zen-299224;150000:93229:knight-206783;299999:299876:abacus-173","http://127.0.0.1:41741"
"2026-06-25T18:50:00.417Z","v9/sorting-fns","v9",1,"sorting","alphanumericCaseSensitive","asc","operation",30000,87.59999999403954,30000,"0:24577:Item-CD-275459;15000:28780:item-CD-271288;29999:1388:item-zen-298642","http://127.0.0.1:41741"
"2026-06-25T18:50:00.511Z","v9/sorting-fns","v9",2,"sorting","alphanumericCaseSensitive","asc","operation",30000,88.5,30000,"0:24577:Item-CD-275459;15000:28780:item-CD-271288;29999:1388:item-zen-298642","http://127.0.0.1:41741"
"2026-06-25T18:50:00.604Z","v9/sorting-fns","v9",3,"sorting","alphanumericCaseSensitive","asc","operation",30000,87.1000000089407,30000,"0:24577:Item-CD-275459;15000:28780:item-CD-271288;29999:1388:item-zen-298642","http://127.0.0.1:41741"
"2026-06-25T18:50:01.707Z","v9/sorting-fns","v9",1,"sorting","alphanumericCaseSensitive","asc","operation",300000,1027.199999988079,300000,"0:291407:Item-CD-8612;150000:297852:item-CD-2210;299999:1388:item-zen-298642","http://127.0.0.1:41741"
"2026-06-25T18:50:02.979Z","v9/sorting-fns","v9",2,"sorting","alphanumericCaseSensitive","asc","operation",300000,1074.0999999940395,300000,"0:291407:Item-CD-8612;150000:297852:item-CD-2210;299999:1388:item-zen-298642","http://127.0.0.1:41741"
"2026-06-25T18:50:04.159Z","v9/sorting-fns","v9",3,"sorting","alphanumericCaseSensitive","asc","operation",300000,1096.5,300000,"0:291407:Item-CD-8612;150000:297852:item-CD-2210;299999:1388:item-zen-298642","http://127.0.0.1:41741"
"2026-06-25T18:50:04.251Z","v9/sorting-fns","v9",1,"sorting","alphanumericCaseSensitive","desc","operation",30000,86,30000,"0:1388:item-zen-298642;15000:859:Item-zen-299224;29999:24577:Item-CD-275459","http://127.0.0.1:41741"
"2026-06-25T18:50:04.346Z","v9/sorting-fns","v9",2,"sorting","alphanumericCaseSensitive","desc","operation",30000,88.79999999701977,30000,"0:1388:item-zen-298642;15000:859:Item-zen-299224;29999:24577:Item-CD-275459","http://127.0.0.1:41741"
"2026-06-25T18:50:04.440Z","v9/sorting-fns","v9",3,"sorting","alphanumericCaseSensitive","desc","operation",30000,88.09999999403954,30000,"0:1388:item-zen-298642;15000:859:Item-zen-299224;29999:24577:Item-CD-275459","http://127.0.0.1:41741"
"2026-06-25T18:50:05.567Z","v9/sorting-fns","v9",1,"sorting","alphanumericCaseSensitive","desc","operation",300000,1052.1000000089407,300000,"0:1388:item-zen-298642;150000:859:Item-zen-299224;299999:291407:Item-CD-8612","http://127.0.0.1:41741"
"2026-06-25T18:50:06.697Z","v9/sorting-fns","v9",2,"sorting","alphanumericCaseSensitive","desc","operation",300000,1053.699999988079,300000,"0:1388:item-zen-298642;150000:859:Item-zen-299224;299999:291407:Item-CD-8612","http://127.0.0.1:41741"
"2026-06-25T18:50:07.822Z","v9/sorting-fns","v9",3,"sorting","alphanumericCaseSensitive","desc","operation",300000,1048,300000,"0:1388:item-zen-298642;150000:859:Item-zen-299224;299999:291407:Item-CD-8612","http://127.0.0.1:41741"
"2026-06-25T18:50:07.869Z","v9/sorting-fns","v9",1,"sorting","text","asc","operation",30000,41.5,30000,"0:24217:aaliyah boyer;15000:22841:johanna skiles;29999:24419:zula stracke","http://127.0.0.1:41741"
"2026-06-25T18:50:07.916Z","v9/sorting-fns","v9",2,"sorting","text","asc","operation",30000,40.19999998807907,30000,"0:24217:aaliyah boyer;15000:22841:johanna skiles;29999:24419:zula stracke","http://127.0.0.1:41741"
"2026-06-25T18:50:07.963Z","v9/sorting-fns","v9",3,"sorting","text","asc","operation",30000,41.5,30000,"0:24217:aaliyah boyer;15000:22841:johanna skiles;29999:24419:zula stracke","http://127.0.0.1:41741"
"2026-06-25T18:50:08.876Z","v9/sorting-fns","v9",1,"sorting","text","asc","operation",300000,836.5999999940395,300000,"0:45315:aaliyah barrows;150000:289179:johnson berge;299999:52290:zula zulauf-osinski","http://127.0.0.1:41741"
"2026-06-25T18:50:09.856Z","v9/sorting-fns","v9",2,"sorting","text","asc","operation",300000,903.5,300000,"0:45315:aaliyah barrows;150000:289179:johnson berge;299999:52290:zula zulauf-osinski","http://127.0.0.1:41741"
"2026-06-25T18:50:10.853Z","v9/sorting-fns","v9",3,"sorting","text","asc","operation",300000,920.9000000059605,300000,"0:45315:aaliyah barrows;150000:289179:johnson berge;299999:52290:zula zulauf-osinski","http://127.0.0.1:41741"
"2026-06-25T18:50:10.906Z","v9/sorting-fns","v9",1,"sorting","text","desc","operation",30000,45.099999994039536,30000,"0:24419:zula stracke;15000:20189:johanna schowalter;29999:24217:aaliyah boyer","http://127.0.0.1:41741"
"2026-06-25T18:50:10.960Z","v9/sorting-fns","v9",2,"sorting","text","desc","operation",30000,47.5,30000,"0:24419:zula stracke;15000:20189:johanna schowalter;29999:24217:aaliyah boyer","http://127.0.0.1:41741"
"2026-06-25T18:50:11.014Z","v9/sorting-fns","v9",3,"sorting","text","desc","operation",30000,47.69999998807907,30000,"0:24419:zula stracke;15000:20189:johanna schowalter;29999:24217:aaliyah boyer","http://127.0.0.1:41741"
"2026-06-25T18:50:12.003Z","v9/sorting-fns","v9",1,"sorting","text","desc","operation",300000,908.7000000029802,300000,"0:52290:zula zulauf-osinski;150000:16175:johnson beier;299999:200065:aaliyah barrows","http://127.0.0.1:41741"
"2026-06-25T18:50:13.007Z","v9/sorting-fns","v9",2,"sorting","text","desc","operation",300000,925.9000000059605,300000,"0:52290:zula zulauf-osinski;150000:16175:johnson beier;299999:200065:aaliyah barrows","http://127.0.0.1:41741"
"2026-06-25T18:50:13.992Z","v9/sorting-fns","v9",3,"sorting","text","desc","operation",300000,905.5999999940395,300000,"0:52290:zula zulauf-osinski;150000:16175:johnson beier;299999:200065:aaliyah barrows","http://127.0.0.1:41741"
"2026-06-25T18:50:14.030Z","v9/sorting-fns","v9",1,"sorting","textCaseSensitive","asc","operation",30000,32.20000000298023,30000,"0:24217:Aaliyah Boyer;15000:14500:aaliyah Cronin;29999:7680:zula Murphy","http://127.0.0.1:41741"
"2026-06-25T18:50:14.070Z","v9/sorting-fns","v9",2,"sorting","textCaseSensitive","asc","operation",30000,32.1000000089407,30000,"0:24217:Aaliyah Boyer;15000:14500:aaliyah Cronin;29999:7680:zula Murphy","http://127.0.0.1:41741"
"2026-06-25T18:50:14.112Z","v9/sorting-fns","v9",3,"sorting","textCaseSensitive","asc","operation",30000,32,30000,"0:24217:Aaliyah Boyer;15000:14500:aaliyah Cronin;29999:7680:zula Murphy","http://127.0.0.1:41741"
"2026-06-25T18:50:14.912Z","v9/sorting-fns","v9",1,"sorting","textCaseSensitive","asc","operation",300000,720.2999999970198,300000,"0:45315:Aaliyah Barrows;150000:209364:aaliyah Barton;299999:52290:zula Zulauf-Osinski","http://127.0.0.1:41741"
"2026-06-25T18:50:16.089Z","v9/sorting-fns","v9",2,"sorting","textCaseSensitive","asc","operation",300000,802.0999999940395,300000,"0:45315:Aaliyah Barrows;150000:209364:aaliyah Barton;299999:52290:zula Zulauf-Osinski","http://127.0.0.1:41741"
"2026-06-25T18:50:17.073Z","v9/sorting-fns","v9",3,"sorting","textCaseSensitive","asc","operation",300000,888.9000000059605,300000,"0:45315:Aaliyah Barrows;150000:209364:aaliyah Barton;299999:52290:zula Zulauf-Osinski","http://127.0.0.1:41741"
